name,price,ratings,image_url
"Apple iPhone 16 (Ultramarine, 128 GB)","₹74,900",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/n/s/-original-imah4jyfrgsbebg9.jpeg?q=70
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 128 GB)","₹12,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/m/0/-original-imah37gw2wv2ayrf.jpeg?q=70
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB)","₹12,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/e/3/-original-imah37gwn2xbvzhy.jpeg?q=70
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Feather Pink, 128 GB)","₹12,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/o/z/-original-imah4qke9gf7jhfg.jpeg?q=70
"Apple iPhone 16 (White, 128 GB)","₹74,900",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/g/v/p/-original-imah4jyfveygyubc.jpeg?q=70
"Apple iPhone 16 (Black, 256 GB)","₹84,900",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/w/5/-original-imah4jyfwr3bfjbg.jpeg?q=70
"Apple iPhone 16 (Black, 128 GB)","₹74,900",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/8/w/5/-original-imah4jyfwr3bfjbg.jpeg?q=70
"realme C61 (Marble Black, 64 GB)","₹7,699",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/v/z/-original-imah28xpzzwz4fwg.jpeg?q=70
"Motorola G85 5G (Cobalt Blue, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/i/p/l/-original-imah2fjcxjdjykpc.jpeg?q=70
"realme C61 (Marble Black, 128 GB)","₹8,199",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/v/z/-original-imah28xpzzwz4fwg.jpeg?q=70
"realme C61 (Safari Green, 128 GB)","₹8,199",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/e/d/c61-rmx3933-realme-original-imah28xeqdygzshc.jpeg?q=70
"Apple iPhone 16 (Pink, 256 GB)","₹84,900",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/v/p/-original-imah4jyfcjgcghqs.jpeg?q=70
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 256 GB)","₹15,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/e/3/-original-imah37gwn2xbvzhy.jpeg?q=70
"Motorola G85 5G (Olive Green, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/l/u/-original-imah2fjd7wfd9ksh.jpeg?q=70
"realme C61 (Safari Green, 64 GB)","₹7,699",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/e/d/c61-rmx3933-realme-original-imah28xeqdygzshc.jpeg?q=70
"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 256 GB)","₹15,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/m/0/-original-imah37gw2wv2ayrf.jpeg?q=70
"SAMSUNG Galaxy F05 (Twilight Blue, 64 GB)","₹6,249",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/e/r/f/-original-imah56hkgehywn5b.jpeg?q=70
"SAMSUNG Galaxy S24+ 5G (Cobalt Violet, 256 GB)","₹52,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/i/y/-original-imah4zp7chcqfzwh.jpeg?q=70
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹12,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/l/c/-original-imah3xk892aj9gck.jpeg?q=70
"SAMSUNG Galaxy S24 5G (Onyx Black, 256 GB)","₹50,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/m/n/9/-original-imahcfwmchscq6fk.jpeg?q=70
"SAMSUNG Galaxy A35 5G (Awesome Iceblue, 256 GB)","₹24,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/p/k/k/-original-imahbzkn4mpfkyg9.jpeg?q=70
"SAMSUNG Galaxy S24 FE 5G (Blue, 128 GB)","₹44,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/s/z/-original-imahcfwmdvbcgdzs.jpeg?q=70
"SAMSUNG Galaxy S24 FE 5G (Mint, 128 GB)","₹44,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/m/g/-original-imahcfwmrnwy9zgn.jpeg?q=70
"SAMSUNG Galaxy S24 FE 5G (Graphite, 128 GB)","₹44,999",4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/y/y/-original-imahcfwmhfccryad.jpeg?q=70
